honeycomb_number,vertex_1_x,vertex_1_y,vertex_2_x,vertex_2_y,vertex_3_x,vertex_3_y,vertex_4_x,vertex_4_y,vertex_5_x,vertex_5_y,vertex_6_x,vertex_6_y
69,43.32,40.642572199603705,45.125,43.768923907265524,48.735,43.768923907265524,50.54,40.642572199603705,48.735,37.51622049194188,45.125,37.51622049194188
70,48.735,43.76892390726553,50.54,46.89527561492735,54.15,46.89527561492735,55.955,43.76892390726553,54.15,40.642572199603705,50.54,40.642572199603705
71,0.0,46.89527561492735,1.805,50.02162732258917,5.415,50.02162732258917,7.22,46.89527561492735,5.415,43.768923907265524,1.805,43.768923907265524
72,5.415,50.021627322589175,7.220000000000001,53.147979030250994,10.83,53.147979030250994,12.635,50.021627322589175,10.83,46.89527561492735,7.220000000000001,46.89527561492735
73,10.83,46.89527561492735,12.635,50.02162732258917,16.245,50.02162732258917,18.05,46.89527561492735,16.245,43.768923907265524,12.635,43.768923907265524
74,16.245,50.021627322589175,18.05,53.147979030250994,21.66,53.147979030250994,23.465,50.021627322589175,21.66,46.89527561492735,18.05,46.89527561492735
75,21.66,46.89527561492735,23.465,50.02162732258917,27.075,50.02162732258917,28.88,46.89527561492735,27.075,43.768923907265524,23.465,43.768923907265524
76,27.075,50.021627322589175,28.88,53.147979030250994,32.49,53.147979030250994,34.295,50.021627322589175,32.49,46.89527561492735,28.88,46.89527561492735
77,32.49,46.89527561492735,34.295,50.02162732258917,37.905,50.02162732258917,39.71,46.89527561492735,37.905,43.768923907265524,34.295,43.768923907265524
78,37.905,50.021627322589175,39.71,53.147979030250994,43.32,53.147979030250994,45.125,50.021627322589175,43.32,46.89527561492735,39.71,46.89527561492735
79,43.32,46.89527561492735,45.125,50.02162732258917,48.735,50.02162732258917,50.54,46.89527561492735,48.735,43.768923907265524,45.125,43.768923907265524
80,48.735,50.021627322589175,50.54,53.147979030250994,54.15,53.147979030250994,55.955,50.021627322589175,54.15,46.89527561492735,50.54,46.89527561492735
81,0.0,53.147979030250994,1.805,56.27433073791281,5.415,56.27433073791281,7.22,53.147979030250994,5.415,50.02162732258917,1.805,50.02162732258917
82,5.415,56.27433073791282,7.220000000000001,59.40068244557464,10.83,59.40068244557464,12.635,56.27433073791282,10.83,53.147979030250994,7.220000000000001,53.147979030250994
83,10.83,53.147979030250994,12.635,56.27433073791281,16.245,56.27433073791281,18.05,53.147979030250994,16.245,50.02162732258917,12.635,50.02162732258917
84,16.245,56.27433073791282,18.05,59.40068244557464,21.66,59.40068244557464,23.465,56.27433073791282,21.66,53.147979030250994,18.05,53.147979030250994
85,21.66,53.147979030250994,23.465,56.27433073791281,27.075,56.27433073791281,28.88,53.147979030250994,27.075,50.02162732258917,23.465,50.02162732258917
86,27.075,56.27433073791282,28.88,59.40068244557464,32.49,59.40068244557464,34.295,56.27433073791282,32.49,53.147979030250994,28.88,53.147979030250994
87,32.49,53.147979030250994,34.295,56.27433073791281,37.905,56.27433073791281,39.71,53.147979030250994,37.905,50.02162732258917,34.295,50.02162732258917
88,37.905,56.27433073791282,39.71,59.40068244557464,43.32,59.40068244557464,45.125,56.27433073791282,43.32,53.147979030250994,39.71,53.147979030250994
89,43.32,53.147979030250994,45.125,56.27433073791281,48.735,56.27433073791281,50.54,53.147979030250994,48.735,50.02162732258917,45.125,50.02162732258917
90,48.735,56.27433073791282,50.54,59.40068244557464,54.15,59.40068244557464,55.955,56.27433073791282,54.15,53.147979030250994,50.54,53.147979030250994
91,0.0,59.40068244557464,1.805,62.52703415323646,5.415,62.52703415323646,7.22,59.40068244557464,5.415,56.27433073791281,1.805,56.27433073791281
92,5.415,62.527034153236464,7.220000000000001,65.65338586089828,10.83,65.65338586089828,12.635,62.527034153236464,10.83,59.40068244557464,7.220000000000001,59.40068244557464
93,10.83,59.40068244557464,12.635,62.52703415323646,16.245,62.52703415323646,18.05,59.40068244557464,16.245,56.27433073791281,12.635,56.27433073791281
94,16.245,62.527034153236464,18.05,65.65338586089828,21.66,65.65338586089828,23.465,62.527034153236464,21.66,59.40068244557464,18.05,59.40068244557464
95,21.66,59.40068244557464,23.465,62.52703415323646,27.075,62.52703415323646,28.88,59.40068244557464,27.075,56.27433073791281,23.465,56.27433073791281
96,27.075,62.527034153236464,28.88,65.65338586089828,32.49,65.65338586089828,34.295,62.527034153236464,32.49,59.40068244557464,28.88,59.40068244557464
97,32.49,59.40068244557464,34.295,62.52703415323646,37.905,62.52703415323646,39.71,59.40068244557464,37.905,56.27433073791281,34.295,56.27433073791281
98,37.905,62.527034153236464,39.71,65.65338586089828,43.32,65.65338586089828,45.125,62.527034153236464,43.32,59.40068244557464,39.71,59.40068244557464
99,43.32,59.40068244557464,45.125,62.52703415323646,48.735,62.52703415323646,50.54,59.40068244557464,48.735,56.27433073791281,45.125,56.27433073791281
100,48.735,62.527034153236464,50.54,65.65338586089828,54.15,65.65338586089828,55.955,62.527034153236464,54.15,59.40068244557464,50.54,59.40068244557464
